"route","stop_name","average_min_delay","average_boarding_rate"
"CR-Needham","Highland","0.925","11.827586206896552"
"CR-Needham","Needham Center","1.7111111111111112","6.532258064516129"
"CR-Needham","Needham Heights","0.9","18.21875"
"CR-Needham","Needham Junction","1.127777777777778","11.936507936507937"
"CR-Needham","Roslindale Village","1.2722222222222224","14.689655172413794"
"CR-Needham","Ruggles","0.7666666666666666","16.666666666666668"
"CR-Needham","South Station","3.5833333333333335","119.71875"
"CR-Needham","West Roxbury","0.8555555555555556","12.578125"
"CR-Newburyport","Beverly","5.136111111111112","23.25619834710744"
"CR-Newburyport","Beverly Farms","3.1333333333333333","4.2"
"CR-Newburyport","Chelsea","14.654166666666667","5.037735849056604"
"CR-Newburyport","Gloucester","3.575","11.818181818181818"
"CR-Newburyport","Hamilton/Wenham","8.411111111111111","N/A"
"CR-Newburyport","Ipswich","7.461111111111111","13.559322033898304"
"CR-Newburyport","Manchester","2.6166666666666667","7.160714285714286"
"CR-Newburyport","Montserrat","4.133333333333334","8.545454545454545"
"CR-Newburyport","Newburyport","7.783333333333333","33.36666666666667"
"CR-Newburyport","North Beverly","6.558333333333334","7.203389830508475"
"CR-Newburyport","North Station","16.461111111111112","213.83870967741936"
"CR-Newburyport","River Works","2.283333333333333","N/A"
"CR-Newburyport","Rockport","2.033333333333333","12.107142857142858"
"CR-Newburyport","Rowley","12.35","3.293103448275862"
"CR-Newburyport","Salem","6.283333333333333","35.71774193548387"
"CR-Newburyport","Swampscott","6.0928571428571425","15.333333333333334"
"CR-Newburyport","West Gloucester","3.0500000000000003","1.6363636363636365"
"CR-Providence","Attleboro","2.7708333333333335","40.84722222222222"
"CR-Providence","Back Bay","2.916666666666667","48.330882352941174"
"CR-Providence","Canton Center","10.008333333333333","15.907407407407407"
"CR-Providence","Canton Junction","5.072222222222222","22.979591836734695"
"CR-Providence","Hyde Park","4.95","13.564102564102564"
"CR-Providence","Mansfield","4.8","51.2027027027027"
"CR-Providence","Pawtucket/Central Falls","3.1375","N/A"
"CR-Providence","Providence","7.5","65.54716981132076"
"CR-Providence","Route 128","4.537037037037036","26.016949152542374"
"CR-Providence","Ruggles","2.5770833333333334","33.32394366197183"
"CR-Providence","Sharon","3.711111111111111","34.605633802816904"
"CR-Providence","South Station","3.220833333333333","203"
"CR-Providence","Stoughton","14.516666666666666","60.464285714285715"
"CR-Providence","TF Green Airport","0","13.241379310344827"
"CR-Worcester","Auburndale","14.408333333333333","9.170212765957446"
"CR-Worcester","Back Bay","20.079166666666666","45.252631578947366"
"CR-Worcester","Boston Landing","26.28666666666667","17.647058823529413"
"CR-Worcester","Framingham","23.727777777777778","26.329113924050635"
"CR-Worcester","Grafton","18.891666666666666","14.158730158730158"
"CR-Worcester","Lansdowne","8.633333333333335","N/A"
"CR-Worcester","Natick Center","20.073333333333334","17.289473684210527"
"CR-Worcester","Newtonville","14.208333333333334","16.27659574468085"
"CR-Worcester","Southborough","16.756666666666668","15.290322580645162"
"CR-Worcester","Wellesley Farms","24.344444444444445","7.985915492957746"
"CR-Worcester","Wellesley Hills","25.144444444444446","8.027397260273972"
"CR-Worcester","Wellesley Square","23.133333333333333","15.378378378378379"
"CR-Worcester","West Natick","26.38888888888889","19.775280898876403"
"CR-Worcester","West Newton","14.358333333333333","9.127659574468085"
"CR-Worcester","Westborough","16.39","19.79032258064516"
"CR-Worcester","Worcester","33.422222222222224","67.06060606060606"
