X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date
-71.4821609999067,42.2614899998601,655191,WML-0252,,Ashland,Ashland - Commuter Rail,,Commuter Rail,42.26149,-71.482161,CR-zone-6,,https://www.mbta.com/stops/place-WML-0252,,0,place-WML-0252,1,Ashland,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.4821609999067,42.2614899998601,655192,WML-0252-01,,Ashland,Ashland - Commuter Rail - Track 1 (Outbound),1,Track 1 (Outbound),42.26149,-71.482161,CR-zone-6,,https://www.mbta.com/stops/place-WML-0252,,0,place-WML-0252,1,Ashland,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.4821609999067,42.2614899998601,655193,WML-0252-02,,Ashland,Ashland - Commuter Rail - Track 2 (Boston),2,Track 2 (Boston),42.26149,-71.482161,CR-zone-6,,https://www.mbta.com/stops/place-WML-0252,,0,place-WML-0252,1,Ashland,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.5243710000977,42.2670240000335,655195,WML-0274,,Southborough,Southborough - Commuter Rail,,Commuter Rail,42.267024,-71.524371,CR-zone-6,,https://www.mbta.com/stops/place-WML-0274,,0,place-WML-0274,1,Southborough,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.5243710000977,42.2670240000335,655196,WML-0274-01,,Southborough,Southborough - Commuter Rail - Track 1 (Outbound),1,Track 1 (Outbound),42.267024,-71.524371,CR-zone-6,,https://www.mbta.com/stops/place-WML-0274,,0,place-WML-0274,1,Southborough,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.5243710000977,42.2670240000335,655197,WML-0274-02,,Southborough,Southborough - Commuter Rail - Track 2 (Boston),2,Track 2 (Boston),42.267024,-71.524371,CR-zone-6,,https://www.mbta.com/stops/place-WML-0274,,0,place-WML-0274,1,Southborough,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.6470759997843,42.2696440001877,655199,WML-0340,,Westborough,Westborough - Commuter Rail,,Commuter Rail,42.269644,-71.647076,CR-zone-7,,https://www.mbta.com/stops/place-WML-0340,,0,place-WML-0340,1,Westborough,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.6470759997843,42.2696440001877,655200,WML-0340-01,,Westborough,Westborough - Commuter Rail - Track 1 (Outbound),1,Track 1 (Outbound),42.269644,-71.647076,CR-zone-7,,https://www.mbta.com/stops/place-WML-0340,,0,place-WML-0340,1,Westborough,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.6470759997843,42.2696440001877,655201,WML-0340-02,,Westborough,Westborough - Commuter Rail - Track 2 (Boston),2,Track 2 (Boston),42.269644,-71.647076,CR-zone-7,,https://www.mbta.com/stops/place-WML-0340,,0,place-WML-0340,1,Westborough,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.6853249997494,42.246600000356,655203,WML-0364,,Grafton,Grafton - Commuter Rail,,Commuter Rail,42.2466,-71.685325,CR-zone-8,,https://www.mbta.com/stops/place-WML-0364,,0,place-WML-0364,1,Grafton,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
