service_date,line,estimated_boardings,ObjectId
2020/07/14 04:00:00+00,Fairmount,366.5,142
2020/07/15 04:00:00+00,Providence/Stoughton,2813,143
2020/07/15 04:00:00+00,Newburyport/Rockport,1568,144
2020/07/15 04:00:00+00,Framingham/Worcester,1261.5,145
2020/07/15 04:00:00+00,Franklin/Foxboro,1519,146
2020/07/15 04:00:00+00,Middleborough/Lakeville,914,147
2020/07/15 04:00:00+00,Lowell,1037,148
2020/07/15 04:00:00+00,Haverhill,705,149
2020/07/15 04:00:00+00,Kingston,808,150
2020/06/26 04:00:00+00,Framingham/Worcester,212,151
2020/06/26 04:00:00+00,Franklin/Foxboro,569,152
2020/06/26 04:00:00+00,Middleborough/Lakeville,822,153
2020/06/26 04:00:00+00,Lowell,677.5,154
2020/06/26 04:00:00+00,Haverhill,493.5,155
2020/06/26 04:00:00+00,Kingston,498.5,156
2020/06/26 04:00:00+00,Needham,263,157
2020/06/26 04:00:00+00,Fitchburg,368.5,158
2020/06/26 04:00:00+00,Greenbush,291,159
2020/06/26 04:00:00+00,Fairmount,212,160
2020/06/29 04:00:00+00,Providence/Stoughton,1393,161
2020/06/29 04:00:00+00,Newburyport/Rockport,1233,162
2020/06/29 04:00:00+00,Framingham/Worcester,201,163
2020/06/29 04:00:00+00,Franklin/Foxboro,595.5,164
2020/06/29 04:00:00+00,Middleborough/Lakeville,700.5,165
2020/06/29 04:00:00+00,Lowell,661.5,166
2020/06/29 04:00:00+00,Haverhill,520.5,167
2020/06/29 04:00:00+00,Kingston,561,168
2020/06/29 04:00:00+00,Needham,247,169
2020/06/29 04:00:00+00,Fitchburg,516,170
2020/06/29 04:00:00+00,Greenbush,298,171
2020/06/29 04:00:00+00,Fairmount,201,172
2020/06/30 04:00:00+00,Providence/Stoughton,1552.5,173
2020/06/30 04:00:00+00,Newburyport/Rockport,1135,174
2020/06/30 04:00:00+00,Framingham/Worcester,201,175
2020/06/30 04:00:00+00,Franklin/Foxboro,726,176
2020/06/30 04:00:00+00,Middleborough/Lakeville,840,177
2020/06/30 04:00:00+00,Lowell,675,178
2020/06/30 04:00:00+00,Haverhill,559.5,179
2020/06/30 04:00:00+00,Kingston,567,180
2020/06/30 04:00:00+00,Needham,283.5,181
2020/06/30 04:00:00+00,Fitchburg,447,182
2020/06/30 04:00:00+00,Greenbush,243,183
2020/06/30 04:00:00+00,Fairmount,243,184
2020/07/01 04:00:00+00,Providence/Stoughton,1792,185
2020/07/01 04:00:00+00,Newburyport/Rockport,1269.5,186
2020/07/01 04:00:00+00,Framingham/Worcester,201,187
2020/07/01 04:00:00+00,Franklin/Foxboro,878,188
2020/07/01 04:00:00+00,Middleborough/Lakeville,828.5,189
2020/07/01 04:00:00+00,Lowell,714,190
2020/07/01 04:00:00+00,Haverhill,590.5,191
2020/07/01 04:00:00+00,Kingston,542,192
2020/07/01 04:00:00+00,Needham,336,193
2020/07/01 04:00:00+00,Fitchburg,503.5,194
2020/07/01 04:00:00+00,Greenbush,278,195
2020/07/01 04:00:00+00,Fairmount,266,196
2020/07/02 04:00:00+00,Providence/Stoughton,1971.5,197
2020/07/02 04:00:00+00,Newburyport/Rockport,1284,198
2020/07/02 04:00:00+00,Framingham/Worcester,201,199
2020/07/02 04:00:00+00,Franklin/Foxboro,836,200
2020/07/21 04:00:00+00,Greenbush,367,201
2020/07/21 04:00:00+00,Fairmount,409.5,202
2020/07/22 04:00:00+00,Providence/Stoughton,2939,203
2020/07/22 04:00:00+00,Newburyport/Rockport,1394.5,204
2020/07/22 04:00:00+00,Framingham/Worcester,1447.5,205
2020/07/22 04:00:00+00,Franklin/Foxboro,1343,206
2020/07/22 04:00:00+00,Middleborough/Lakeville,1024,207
2020/07/22 04:00:00+00,Lowell,838,208
2020/07/22 04:00:00+00,Haverhill,642,209
2020/07/22 04:00:00+00,Kingston,820,210
2020/07/22 04:00:00+00,Needham,596.5,211
2020/07/22 04:00:00+00,Fitchburg,536,212
2020/07/22 04:00:00+00,Greenbush,317,213
2020/07/22 04:00:00+00,Fairmount,411.5,214
2020/07/23 04:00:00+00,Providence/Stoughton,3186,215
2020/07/23 04:00:00+00,Newburyport/Rockport,1366.5,216
2020/07/23 04:00:00+00,Framingham/Worcester,1506,217
2020/07/23 04:00:00+00,Franklin/Foxboro,1417,218
2020/07/23 04:00:00+00,Middleborough/Lakeville,963,219
2020/07/23 04:00:00+00,Lowell,842.5,220
2020/07/23 04:00:00+00,Haverhill,655,221
2020/07/23 04:00:00+00,Kingston,642,222
2020/07/23 04:00:00+00,Needham,656.5,223
2020/07/23 04:00:00+00,Fitchburg,610,224
2020/07/23 04:00:00+00,Greenbush,295.5,225
2020/07/23 04:00:00+00,Fairmount,443.5,226
2020/07/24 04:00:00+00,Providence/Stoughton,2883,227
2020/07/24 04:00:00+00,Newburyport/Rockport,1451.5,228
2020/07/24 04:00:00+00,Framingham/Worcester,1586,229
2020/07/24 04:00:00+00,Franklin/Foxboro,1326.5,230
2020/07/24 04:00:00+00,Middleborough/Lakeville,830,231
2020/07/24 04:00:00+00,Lowell,824,232
2020/07/24 04:00:00+00,Haverhill,573,233
2020/07/24 04:00:00+00,Kingston,677,234
2020/07/24 04:00:00+00,Needham,584,235
2020/07/24 04:00:00+00,Fitchburg,524,236
2020/07/24 04:00:00+00,Greenbush,297,237
2020/07/24 04:00:00+00,Fairmount,411.5,238
2020/07/27 04:00:00+00,Providence/Stoughton,2767,239
2020/07/27 04:00:00+00,Newburyport/Rockport,1379.5,240
2020/07/27 04:00:00+00,Framingham/Worcester,1443,241
2020/07/27 04:00:00+00,Franklin/Foxboro,1275.5,242
2020/07/27 04:00:00+00,Middleborough/Lakeville,862.5,243
2020/07/27 04:00:00+00,Lowell,920,244
2020/07/27 04:00:00+00,Haverhill,685,245
2020/07/27 04:00:00+00,Kingston,617,246
2020/07/27 04:00:00+00,Needham,654,247
2020/07/27 04:00:00+00,Fitchburg,575,248
2020/07/27 04:00:00+00,Greenbush,294,249
2020/07/27 04:00:00+00,Fairmount,345.5,250
2020/08/03 04:00:00+00,Framingham/Worcester,1496.5,251
2020/08/03 04:00:00+00,Franklin/Foxboro,1453,252
2020/08/03 04:00:00+00,Middleborough/Lakeville,925.5,253
2020/08/03 04:00:00+00,Lowell,921,254
2020/08/03 04:00:00+00,Haverhill,640,255
2020/08/03 04:00:00+00,Kingston,656.5,256
2020/08/03 04:00:00+00,Needham,659,257
2020/08/03 04:00:00+00,Fitchburg,617,258
2020/08/03 04:00:00+00,Greenbush,353,259
2020/08/03 04:00:00+00,Fairmount,371,260
2020/08/04 04:00:00+00,Providence/Stoughton,2938,261
2020/08/04 04:00:00+00,Newburyport/Rockport,1472,262
2020/08/04 04:00:00+00,Framingham/Worcester,1498,263
2020/08/04 04:00:00+00,Franklin/Foxboro,1371,264
2020/08/04 04:00:00+00,Middleborough/Lakeville,939,265
2020/08/04 04:00:00+00,Lowell,848,266
2020/08/04 04:00:00+00,Haverhill,697,267
2020/08/04 04:00:00+00,Kingston,701.5,268
2020/08/04 04:00:00+00,Needham,658.5,269
2020/08/04 04:00:00+00,Fitchburg,572,270
2020/08/04 04:00:00+00,Greenbush,336.5,271
2020/08/04 04:00:00+00,Fairmount,414.5,272
2020/08/05 04:00:00+00,Providence/Stoughton,2866.5,273
2020/08/05 04:00:00+00,Newburyport/Rockport,1543,274
2020/08/05 04:00:00+00,Framingham/Worcester,1292,275
2020/08/05 04:00:00+00,Franklin/Foxboro,1393,276
2020/08/05 04:00:00+00,Middleborough/Lakeville,955,277
2020/08/05 04:00:00+00,Lowell,832,278
2020/08/05 04:00:00+00,Haverhill,703,279
2020/08/05 04:00:00+00,Kingston,730,280
2020/08/05 04:00:00+00,Needham,657,281
2020/08/05 04:00:00+00,Fitchburg,692,282
2020/08/05 04:00:00+00,Greenbush,311.5,283
2020/08/05 04:00:00+00,Fairmount,470,284
2020/08/06 04:00:00+00,Providence/Stoughton,3275,285
2020/08/06 04:00:00+00,Newburyport/Rockport,1550.5,286
2020/08/06 04:00:00+00,Framingham/Worcester,1474.5,287
2020/08/06 04:00:00+00,Franklin/Foxboro,1400.5,288
2020/08/06 04:00:00+00,Middleborough/Lakeville,767.5,289
2020/08/06 04:00:00+00,Lowell,972,290
2020/08/06 04:00:00+00,Haverhill,794,291
2020/08/06 04:00:00+00,Kingston,693,292
2020/08/06 04:00:00+00,Needham,664,293
2020/08/06 04:00:00+00,Fitchburg,789,294
2020/08/06 04:00:00+00,Greenbush,324,295
2020/08/06 04:00:00+00,Fairmount,412,296
2020/08/07 04:00:00+00,Providence/Stoughton,3303.5,297
2020/08/07 04:00:00+00,Newburyport/Rockport,1721,298
2020/08/07 04:00:00+00,Framingham/Worcester,1637.5,299
2020/08/07 04:00:00+00,Franklin/Foxboro,1320.5,300
2020/07/15 04:00:00+00,Needham,639.5,301
2020/07/15 04:00:00+00,Fitchburg,551,302
2020/07/15 04:00:00+00,Greenbush,341,303
2020/07/15 04:00:00+00,Fairmount,479.5,304
2020/07/16 04:00:00+00,Providence/Stoughton,2664,305
2020/07/16 04:00:00+00,Newburyport/Rockport,1599,306
2020/07/16 04:00:00+00,Framingham/Worcester,1568,307
2020/07/16 04:00:00+00,Franklin/Foxboro,1361,308
2020/07/16 04:00:00+00,Middleborough/Lakeville,972,309
2020/07/16 04:00:00+00,Lowell,946.5,310
2020/07/16 04:00:00+00,Haverhill,735,311
2020/07/16 04:00:00+00,Kingston,774,312
2020/07/16 04:00:00+00,Needham,706.5,313
2020/07/16 04:00:00+00,Fitchburg,583,314
2020/07/16 04:00:00+00,Greenbush,338,315
2020/07/16 04:00:00+00,Fairmount,427,316
2020/07/17 04:00:00+00,Providence/Stoughton,2638.5,317
2020/07/17 04:00:00+00,Newburyport/Rockport,1429.5,318
2020/07/17 04:00:00+00,Framingham/Worcester,1219.5,319
2020/07/17 04:00:00+00,Franklin/Foxboro,1426,320
2020/07/17 04:00:00+00,Middleborough/Lakeville,962,321
2020/07/17 04:00:00+00,Lowell,847,322
2020/07/17 04:00:00+00,Haverhill,691,323
2020/07/17 04:00:00+00,Kingston,799,324
2020/07/17 04:00:00+00,Needham,556.5,325
2020/07/17 04:00:00+00,Fitchburg,587,326
2020/07/17 04:00:00+00,Greenbush,297,327
2020/07/17 04:00:00+00,Fairmount,386.5,328
2020/07/20 04:00:00+00,Providence/Stoughton,2737,329
2020/07/20 04:00:00+00,Newburyport/Rockport,1354.5,330
2020/07/20 04:00:00+00,Framingham/Worcester,1361,331
2020/07/20 04:00:00+00,Franklin/Foxboro,1515.5,332
2020/07/20 04:00:00+00,Middleborough/Lakeville,857,333
2020/07/20 04:00:00+00,Lowell,893.5,334
2020/07/20 04:00:00+00,Haverhill,619,335
2020/07/20 04:00:00+00,Kingston,737,336
2020/07/20 04:00:00+00,Needham,795,337
2020/07/20 04:00:00+00,Fitchburg,570,338
2020/07/20 04:00:00+00,Greenbush,274,339
2020/07/20 04:00:00+00,Fairmount,349,340
2020/07/21 04:00:00+00,Providence/Stoughton,2944,341
2020/07/21 04:00:00+00,Newburyport/Rockport,1505,342
2020/07/21 04:00:00+00,Framingham/Worcester,1540,343
2020/07/21 04:00:00+00,Franklin/Foxboro,1474.5,344
2020/07/21 04:00:00+00,Middleborough/Lakeville,945,345
2020/07/21 04:00:00+00,Lowell,879,346
2020/07/21 04:00:00+00,Haverhill,651,347
2020/07/21 04:00:00+00,Kingston,806,348
2020/07/21 04:00:00+00,Needham,623.5,349
2020/07/21 04:00:00+00,Fitchburg,606,350
2020/07/02 04:00:00+00,Middleborough/Lakeville,783,351
2020/07/02 04:00:00+00,Lowell,869,352
2020/07/02 04:00:00+00,Haverhill,569,353
2020/07/02 04:00:00+00,Kingston,519,354
2020/07/02 04:00:00+00,Needham,328,355
2020/07/02 04:00:00+00,Fitchburg,658,356
2020/07/02 04:00:00+00,Greenbush,297,357
2020/07/02 04:00:00+00,Fairmount,271,358
2020/07/06 04:00:00+00,Providence/Stoughton,2051.5,359
2020/07/06 04:00:00+00,Newburyport/Rockport,1308,360
2020/07/06 04:00:00+00,Framingham/Worcester,201,361
2020/07/06 04:00:00+00,Franklin/Foxboro,714.5,362
2020/07/06 04:00:00+00,Middleborough/Lakeville,776,363
2020/07/06 04:00:00+00,Lowell,791,364
2020/07/06 04:00:00+00,Haverhill,635,365
2020/07/06 04:00:00+00,Kingston,490,366
2020/07/06 04:00:00+00,Needham,310,367
2020/07/06 04:00:00+00,Fitchburg,492,368
2020/07/06 04:00:00+00,Greenbush,285,369
2020/07/06 04:00:00+00,Fairmount,251,370
2020/07/07 04:00:00+00,Providence/Stoughton,2147.5,371
2020/07/07 04:00:00+00,Newburyport/Rockport,1497,372
2020/07/07 04:00:00+00,Framingham/Worcester,243,373
2020/07/07 04:00:00+00,Franklin/Foxboro,820,374
2020/07/07 04:00:00+00,Middleborough/Lakeville,918,375
2020/07/07 04:00:00+00,Lowell,905,376
2020/07/07 04:00:00+00,Haverhill,690,377
2020/07/07 04:00:00+00,Kingston,727,378
2020/07/07 04:00:00+00,Needham,382,379
2020/07/07 04:00:00+00,Fitchburg,564,380
2020/07/07 04:00:00+00,Greenbush,319,381
2020/07/07 04:00:00+00,Fairmount,283.5,382
2020/07/08 04:00:00+00,Providence/Stoughton,2328.5,383
2020/07/08 04:00:00+00,Newburyport/Rockport,1415,384
2020/07/08 04:00:00+00,Framingham/Worcester,318.5,385
2020/07/08 04:00:00+00,Franklin/Foxboro,1066,386
2020/07/08 04:00:00+00,Middleborough/Lakeville,939,387
2020/07/08 04:00:00+00,Lowell,860.5,388
2020/07/08 04:00:00+00,Haverhill,724,389
2020/07/08 04:00:00+00,Kingston,668.5,390
2020/07/08 04:00:00+00,Needham,426,391
2020/07/08 04:00:00+00,Fitchburg,525,392
2020/07/08 04:00:00+00,Greenbush,277,393
2020/07/08 04:00:00+00,Fairmount,304,394
2020/07/09 04:00:00+00,Providence/Stoughton,2442.5,395
2020/07/09 04:00:00+00,Newburyport/Rockport,1492,396
2020/07/09 04:00:00+00,Framingham/Worcester,546,397
2020/07/09 04:00:00+00,Franklin/Foxboro,1180,398
2020/07/09 04:00:00+00,Middleborough/Lakeville,871,399
2020/07/09 04:00:00+00,Lowell,1025.5,400
2020/08/19 04:00:00+00,Needham,920,401
2020/08/19 04:00:00+00,Fitchburg,695,402
2020/08/19 04:00:00+00,Greenbush,370.5,403
2020/08/19 04:00:00+00,Fairmount,465.5,404
2020/08/20 04:00:00+00,Providence/Stoughton,3124.5,405
2020/08/20 04:00:00+00,Newburyport/Rockport,1751,406
2020/08/20 04:00:00+00,Framingham/Worcester,1533.5,407
2020/09/11 04:00:00+00,Middleborough/Lakeville,1217,408
2020/08/20 04:00:00+00,Franklin/Foxboro,1424,409
2020/08/20 04:00:00+00,Middleborough/Lakeville,1039,410
2020/08/20 04:00:00+00,Lowell,909,411
2020/09/11 04:00:00+00,Lowell,1031.5,412
2020/08/20 04:00:00+00,Haverhill,712,413
2020/09/11 04:00:00+00,Haverhill,778,414
2020/08/20 04:00:00+00,Kingston,705.5,415
2020/08/07 04:00:00+00,Middleborough/Lakeville,938,416
2020/09/11 04:00:00+00,Kingston,746,417
2020/08/20 04:00:00+00,Needham,879,418
2020/08/07 04:00:00+00,Lowell,805,419
2020/09/11 04:00:00+00,Needham,681.5,420
2020/08/20 04:00:00+00,Fitchburg,697,421
2020/08/07 04:00:00+00,Haverhill,732,422
2020/09/11 04:00:00+00,Fitchburg,652.5,423
2020/08/20 04:00:00+00,Greenbush,387.5,424
2020/08/07 04:00:00+00,Kingston,594,425
2020/09/11 04:00:00+00,Greenbush,341,426
2020/08/20 04:00:00+00,Fairmount,413,427
2020/08/07 04:00:00+00,Needham,652,428
2020/09/11 04:00:00+00,Fairmount,385.5,429
2020/08/21 04:00:00+00,Providence/Stoughton,3024.5,430
2020/08/07 04:00:00+00,Fitchburg,559,431
2020/09/14 04:00:00+00,Providence/Stoughton,3100.5,432
2020/08/21 04:00:00+00,Newburyport/Rockport,1752,433
2020/08/07 04:00:00+00,Greenbush,333,434
2020/09/14 04:00:00+00,Newburyport/Rockport,1821,435
2020/08/21 04:00:00+00,Framingham/Worcester,1356,436
2020/08/21 04:00:00+00,Franklin/Foxboro,1292,437
2020/08/21 04:00:00+00,Middleborough/Lakeville,850.5,438
2020/08/21 04:00:00+00,Lowell,857,439
2020/08/21 04:00:00+00,Haverhill,631,440
2020/08/21 04:00:00+00,Kingston,648,441
2020/08/21 04:00:00+00,Needham,751.5,442
2020/08/21 04:00:00+00,Fitchburg,644.5,443
2020/08/21 04:00:00+00,Greenbush,321,444
2020/08/21 04:00:00+00,Fairmount,466.5,445
2020/08/24 04:00:00+00,Providence/Stoughton,3178,446
2020/08/24 04:00:00+00,Newburyport/Rockport,1634,447
2020/08/24 04:00:00+00,Framingham/Worcester,1323,448
2020/08/24 04:00:00+00,Franklin/Foxboro,1290.5,449
2020/08/24 04:00:00+00,Middleborough/Lakeville,975.5,450
2020/08/24 04:00:00+00,Lowell,913,451
2020/08/24 04:00:00+00,Haverhill,685,452
2020/08/24 04:00:00+00,Kingston,732.5,453
2020/08/24 04:00:00+00,Needham,767.5,454
2020/08/24 04:00:00+00,Fitchburg,642,455
2020/08/24 04:00:00+00,Greenbush,321.5,456
2020/08/24 04:00:00+00,Fairmount,493.5,457
2020/08/25 04:00:00+00,Providence/Stoughton,2992.5,458
2020/08/25 04:00:00+00,Newburyport/Rockport,1588,459
2020/08/25 04:00:00+00,Framingham/Worcester,1260,460
2020/08/25 04:00:00+00,Franklin/Foxboro,1433.5,461
2020/08/25 04:00:00+00,Middleborough/Lakeville,901.5,462
2020/08/25 04:00:00+00,Lowell,848,463
2020/08/25 04:00:00+00,Haverhill,774,464
2020/08/25 04:00:00+00,Kingston,742,465
2020/08/25 04:00:00+00,Needham,797,466
2020/08/25 04:00:00+00,Fitchburg,665,467
2020/09/14 04:00:00+00,Framingham/Worcester,1793,468
2020/09/14 04:00:00+00,Franklin/Foxboro,1576.5,469
2020/09/14 04:00:00+00,Middleborough/Lakeville,948,470
2020/09/14 04:00:00+00,Lowell,1172,471
2020/09/14 04:00:00+00,Haverhill,762,472
2020/09/14 04:00:00+00,Kingston,801,473
2020/09/14 04:00:00+00,Needham,816,474
2020/09/14 04:00:00+00,Fitchburg,652.5,475
